2026-02-27 06:40:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:40:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:40:07 [INFO] 🔍 Уникальных конфигов собрано: 428
2026-02-27 06:40:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:41:07 [INFO]    🏆 SE | VLESS | Пинг: 3684ms | Скорость: 7.1 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 EE | VLESS | Пинг: 3649ms | Скорость: 6.73 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 LT | VLESS | Пинг: 3679ms | Скорость: 6.74 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 DE | VLESS | Пинг: 3643ms | Скорость: 6.44 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 PL | VLESS | Пинг: 3670ms | Скорость: 6.36 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 NL | VLESS | Пинг: 3687ms | Скорость: 6.74 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 ES | VLESS | Пинг: 3699ms | Скорость: 6.54 Mbps ⚡⚡
2026-02-27 06:41:07 [INFO]    🏆 JP | VLESS | Пинг: 3701ms | Скорость: 10.65 Mbps ⚡⚡
2026-02-27 06:41:09 [INFO]    🏆 PL | VLESS | Пинг: 3702ms | Скорость: 6.7 Mbps ⚡⚡
2026-02-27 06:41:09 [INFO]    🏆 FI | VLESS | Пинг: 3732ms | Скорость: 8.84 Mbps ⚡⚡
2026-02-27 06:41:09 [INFO]    🏆 DE | VLESS | Пинг: 3664ms | Скорость: 3.99 Mbps ⚡⚡
2026-02-27 06:41:09 [INFO]    🏆 US | VLESS | Пинг: 3700ms | Скорость: 4.23 Mbps ⚡⚡
2026-02-27 06:41:10 [INFO]    🏆 IT | VLESS | Пинг: 3630ms | Скорость: 1.12 Mbps 
2026-02-27 06:41:10 [INFO]    🏆 DE | VLESS | Пинг: 3748ms | Скорость: 8.25 Mbps ⚡⚡
