2026-02-23 01:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-23 01:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-23 01:20:10 [INFO] 🔍 Уникальных конфигов собрано: 658
2026-02-23 01:20:10 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-23 01:21:24 [INFO]    🏆 CA | VLESS | Пинг: 1649ms | Скорость: 4.7 Mbps ⚡⚡
2026-02-23 01:21:24 [INFO]    🏆 SG | VLESS | Пинг: 1682ms | Скорость: 4.18 Mbps ⚡⚡
2026-02-23 01:21:25 [INFO]    🏆 DE | VLESS | Пинг: 1240ms | Скорость: 3.61 Mbps ⚡⚡
2026-02-23 01:21:25 [INFO]    🏆 FR | VLESS | Пинг: 988ms | Скорость: 3.47 Mbps ⚡⚡
2026-02-23 01:21:25 [INFO]    🏆 LV | VLESS | Пинг: 360ms | Скорость: 3.26 Mbps ⚡⚡
2026-02-23 01:21:25 [INFO]    🏆 GB | VLESS | Пинг: 1080ms | Скорость: 3.03 Mbps ⚡⚡
2026-02-23 01:21:25 [INFO]    🏆 GB | VLESS | Пинг: 1151ms | Скорость: 2.33 Mbps ⚡
2026-02-23 01:21:25 [INFO]    🏆 FR | VLESS | Пинг: 1195ms | Скорость: 2.94 Mbps ⚡
2026-02-23 01:21:25 [INFO]    🏆 DE | VLESS | Пинг: 1703ms | Скорость: 8.39 Mbps ⚡⚡
2026-02-23 01:21:26 [INFO]    🏆 FR | VLESS | Пинг: 1910ms | Скорость: 11.48 Mbps ⚡⚡
2026-02-23 01:21:26 [INFO]    🏆 FR | VLESS | Пинг: 1713ms | Скорость: 6.89 Mbps ⚡⚡
2026-02-23 01:21:26 [INFO]    🏆 FR | VLESS | Пинг: 1705ms | Скорость: 6.82 Mbps ⚡⚡
2026-02-23 01:21:27 [INFO]    🏆 CA | VLESS | Пинг: 1779ms | Скорость: 6.15 Mbps ⚡⚡
2026-02-23 01:21:27 [INFO]    🏆 DE | VLESS | Пинг: 2103ms | Скорость: 13.95 Mbps ⚡⚡
2026-02-23 01:21:28 [INFO]    🏆 BR | VLESS | Пинг: 1964ms | Скорость: 5.87 Mbps ⚡⚡
2026-02-23 01:21:28 [INFO]    🏆 DE | VLESS | Пинг: 2167ms | Скорость: 8.13 Mbps ⚡⚡
2026-02-23 01:21:28 [INFO]    🏆 DE | VLESS | Пинг: 2226ms | Скорость: 8.32 Mbps ⚡⚡
2026-02-23 01:21:28 [INFO]    🏆 DE | VLESS | Пинг: 2209ms | Скорость: 8.05 Mbps ⚡⚡
2026-02-23 01:21:29 [INFO]    🏆 FR | VLESS | Пинг: 2217ms | Скорость: 8.22 Mbps ⚡⚡
2026-02-23 01:21:29 [INFO]    🏆 FI | VLESS | Пинг: 2430ms | Скорость: 9.35 Mbps ⚡⚡
2026-02-23 01:21:29 [INFO]    🏆 NL | VLESS | Пинг: 2340ms | Скорость: 8.19 Mbps ⚡⚡
2026-02-23 01:21:29 [INFO]    🏆 FR | VLESS | Пинг: 2462ms | Скорость: 10.21 Mbps ⚡⚡
2026-02-23 01:21:29 [INFO]    🏆 DE | VLESS | Пинг: 2593ms | Скорость: 10.13 Mbps ⚡⚡
2026-02-23 01:21:30 [INFO]    🏆 SG | VLESS | Пинг: 2601ms | Скорость: 9.03 Mbps ⚡⚡
2026-02-23 01:21:30 [INFO]    🏆 SG | VLESS | Пинг: 2642ms | Скорость: 16.67 Mbps ⚡⚡
2026-02-23 01:21:30 [INFO]    🏆 SG | VLESS | Пинг: 2672ms | Скорость: 17.86 Mbps ⚡⚡
2026-02-23 01:21:30 [INFO]    🏆 CA | VLESS | Пинг: 1920ms | Скорость: 1.88 Mbps ⚡
2026-02-23 01:21:31 [INFO]    🏆 CA | VLESS | Пинг: 2641ms | Скорость: 8.59 Mbps ⚡⚡
2026-02-23 01:21:31 [INFO]    🏆 US | VLESS | Пинг: 2640ms | Скорость: 6.34 Mbps ⚡⚡
2026-02-23 01:21:31 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-23 01:21:31 [INFO] 💾 Файл успешно сохранен: FL1PVPN
