2026-02-27 06:20:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 06:20:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 06:20:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 06:20:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 06:20:51 [INFO]    [PING OK] DE | VLESS | 3804ms
2026-02-27 06:20:51 [INFO]    [PING OK] PL | VLESS | 4053ms
2026-02-27 06:20:51 [INFO]    [PING OK] US | VLESS | 4266ms
2026-02-27 06:20:52 [INFO]    [PING OK] NL | VLESS | 4476ms
2026-02-27 06:20:52 [INFO]    [PING OK] CZ | VLESS | 4050ms
2026-02-27 06:20:52 [INFO]    [PING OK] SE | VLESS | 5008ms
2026-02-27 06:20:53 [INFO]    [PING OK] PL | VLESS | 4820ms
2026-02-27 06:20:53 [INFO]    [PING OK] FI | VLESS | 4428ms
2026-02-27 06:20:53 [INFO]    [PING OK] US | VLESS | 4571ms
2026-02-27 06:20:53 [INFO]    [PING OK] NL | VLESS | 4575ms
2026-02-27 06:20:53 [INFO]    [PING OK] FR | VLESS | 4546ms
2026-02-27 06:20:54 [INFO]    [PING OK] CA | VLESS | 4539ms
2026-02-27 06:20:54 [INFO]    [PING OK] DE | VLESS | 5590ms
2026-02-27 06:20:54 [INFO]    [PING OK] SG | VLESS | 4384ms
2026-02-27 06:20:55 [INFO]    [PING OK] CA | VLESS | 4560ms
2026-02-27 06:20:55 [INFO]    [PING OK] CA | VLESS | 4440ms
2026-02-27 06:20:55 [INFO]    [PING OK] DE | VLESS | 3000ms
2026-02-27 06:20:55 [INFO]    [PING OK] DE | VLESS | 3350ms
2026-02-27 06:20:55 [INFO]    [PING OK] DE | VLESS | 3201ms
2026-02-27 06:20:56 [INFO]    [PING OK] DE | VLESS | 3022ms
2026-02-27 06:20:56 [INFO]    [PING OK] DE | VLESS | 4791ms
2026-02-27 06:20:58 [INFO]    [PING OK] DE | VLESS | 4701ms
2026-02-27 06:21:05 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 иностранных кандидатов...
2026-02-27 06:21:09 [INFO]    🏆 DE | VLESS | Пинг: 3519ms | Скорость: 5.78 Mbps ⚡⚡
2026-02-27 06:21:09 [INFO]    🏆 DE | VLESS | Пинг: 3000ms | Скорость: 5.45 Mbps ⚡⚡
2026-02-27 06:21:09 [INFO]    🏆 EE | VLESS | Пинг: 3505ms | Скорость: 5.6 Mbps ⚡⚡
2026-02-27 06:21:09 [INFO]    🏆 PL | VLESS | Пинг: 3464ms | Скорость: 5.46 Mbps ⚡⚡
2026-02-27 06:21:09 [INFO]    🏆 DE | VLESS | Пинг: 3463ms | Скорость: 5.48 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 FI | VLESS | Пинг: 3576ms | Скорость: 5.62 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 GB | VLESS | Пинг: 3498ms | Скорость: 5.44 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 NL | VLESS | Пинг: 3570ms | Скорость: 5.42 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 NO | VLESS | Пинг: 3604ms | Скорость: 5.43 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 JP | VLESS | Пинг: 3497ms | Скорость: 4.81 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 DE | VLESS | Пинг: 3201ms | Скорость: 4.7 Mbps ⚡⚡
2026-02-27 06:21:10 [INFO]    🏆 DE | VLESS | Пинг: 3022ms | Скорость: 4.59 Mbps ⚡⚡
