2026-02-21 12:50:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 12:50:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 12:50:13 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 12:50:13 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 12:53:51 [INFO]    🏆 DE | VLESS | Пинг: 173ms | Скорость: 13.9 Mbps ⚡⚡
2026-02-21 12:53:52 [INFO]    🏆 FR | VLESS | Пинг: 185ms | Скорость: 8.03 Mbps ⚡⚡
2026-02-21 12:53:52 [INFO]    🏆 NL | VLESS | Пинг: 206ms | Скорость: 8.73 Mbps ⚡⚡
2026-02-21 12:53:52 [INFO]    🏆 NL | VLESS | Пинг: 210ms | Скорость: 9.12 Mbps ⚡⚡
2026-02-21 12:53:52 [INFO]    🏆 FR | VLESS | Пинг: 200ms | Скорость: 8.43 Mbps ⚡⚡
2026-02-21 12:53:52 [INFO]    🏆 GB | VLESS | Пинг: 181ms | Скорость: 7.47 Mbps ⚡⚡
2026-02-21 12:53:53 [INFO]    🏆 FR | VLESS | Пинг: 190ms | Скорость: 6.7 Mbps ⚡⚡
2026-02-21 12:53:54 [INFO]    🏆 FR | VLESS | Пинг: 210ms | Скорость: 6.34 Mbps ⚡⚡
2026-02-21 12:53:54 [INFO]    🏆 MD | VLESS | Пинг: 163ms | Скорость: 1.15 Mbps 
2026-02-21 12:53:54 [INFO] 📊 Итого в подписке сохранено: 10 серверов
2026-02-21 12:53:54 [INFO] 💾 Файл успешно сохранен: FL1PVPN
