2026-02-18 17:00:06 [INFO] 🚀 START: Smart Selector (STRICT: ONLY VLESS+REALITY, ANY SNI, Target: 10)
2026-02-18 17:00:06 [INFO] 🌐 Загрузка источников (отбор только VLESS+Reality)...
2026-02-18 17:00:07 [INFO] 🔍 Найдено серверов VLESS+Reality: 1537
2026-02-18 17:00:07 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-18 17:00:48 [INFO]    [PING OK] FI | VLESS-REALITY | SNI: eh.vk.com | 182ms | Src: raw.githubusercontent.com
2026-02-18 17:00:49 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: rbc.ru | 203ms | Src: raw.githubusercontent.com
2026-02-18 17:00:49 [INFO]    [PING OK] PL | VLESS-REALITY | SNI: poland.scroogethebest.com | 148ms | Src: raw.githubusercontent.com
2026-02-18 17:00:49 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.ru | 228ms | Src: raw.githubusercontent.com
2026-02-18 17:00:51 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: max.ru | 864ms | Src: raw.githubusercontent.com
2026-02-18 17:00:52 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: one-piece.com | 342ms | Src: raw.githubusercontent.com
2026-02-18 17:00:53 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: yandex.ru | 337ms | Src: raw.githubusercontent.com
2026-02-18 17:00:53 [INFO]    [PING OK] JP | VLESS-REALITY | SNI: cdn77.api.userway.org | 1051ms | Src: raw.githubusercontent.com
2026-02-18 17:00:53 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: ir.ozone.ru | 138ms | Src: raw.githubusercontent.com
2026-02-18 17:00:54 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: refersion.com | 2380ms | Src: raw.githubusercontent.com
2026-02-18 17:00:54 [INFO]    [PING OK] RU | VLESS-REALITY | SNI: m.vk.com | 167ms | Src: raw.githubusercontent.com
2026-02-18 17:00:55 [INFO]    [PING OK] FI | VLESS-REALITY | SNI: moktana.digital | 678ms | Src: raw.githubusercontent.com
2026-02-18 17:00:56 [INFO]    [PING OK] DE | VLESS-REALITY | SNI: test.spectrum.vu | 560ms | Src: raw.githubusercontent.com
2026-02-18 17:00:58 [INFO]    [PING OK] AT | VLESS-REALITY | SNI: one-piece.com | 312ms | Src: raw.githubusercontent.com
