2026-02-27 07:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-27 07:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-27 07:00:07 [INFO] 🔍 Уникальных конфигов собрано: 429
2026-02-27 07:00:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-27 07:00:47 [INFO]    [PING OK] TR | VLESS | 4353ms
2026-02-27 07:00:47 [INFO]    [PING OK] EE | VLESS | 4025ms
2026-02-27 07:00:47 [INFO]    [PING OK] JP | VLESS | 4048ms
2026-02-27 07:00:48 [INFO]    [PING OK] DE | VLESS | 4143ms
2026-02-27 07:00:48 [INFO]    [PING OK] CZ | VLESS | 4256ms
2026-02-27 07:00:48 [INFO]    [PING OK] IT | VLESS | 4066ms
2026-02-27 07:00:48 [INFO]    [PING OK] NG | VLESS | 5524ms
2026-02-27 07:00:48 [INFO]    [PING OK] NL | VLESS | 4229ms
2026-02-27 07:00:48 [INFO]    [PING OK] CZ | VLESS | 3961ms
2026-02-27 07:00:48 [INFO]    [PING OK] NL | VLESS | 4032ms
2026-02-27 07:00:49 [INFO]    [PING OK] CA | VLESS | 4649ms
2026-02-27 07:00:49 [INFO]    [PING OK] DE | VLESS | 4220ms
2026-02-27 07:00:49 [INFO]    [PING OK] CA | VLESS | 4457ms
2026-02-27 07:00:49 [INFO]    [PING OK] DE | VLESS | 4081ms
2026-02-27 07:00:49 [INFO]    [PING OK] LV | VLESS | 3831ms
2026-02-27 07:00:50 [INFO]    [PING OK] US | VLESS | 4262ms
2026-02-27 07:00:50 [INFO]    [PING OK] PL | VLESS | 3818ms
2026-02-27 07:00:50 [INFO]    [PING OK] HU | VLESS | 4203ms
2026-02-27 07:00:50 [INFO]    [PING OK] PL | VLESS | 3880ms
2026-02-27 07:00:50 [INFO]    [PING OK] NL | VLESS | 4002ms
2026-02-27 07:00:50 [INFO]    [PING OK] US | VLESS | 4140ms
2026-02-27 07:00:51 [INFO]    [PING OK] HK | VLESS | 4140ms
2026-02-27 07:00:51 [INFO]    [PING OK] FI | VLESS | 4277ms
2026-02-27 07:00:51 [INFO]    [PING OK] DE | VLESS | 4071ms
2026-02-27 07:00:51 [INFO]    [PING OK] JP | VLESS | 3930ms
2026-02-27 07:00:52 [INFO]    [PING OK] DE | VLESS | 4175ms
2026-02-27 07:00:53 [INFO]    [PING OK] GB | VLESS | 4285ms
2026-02-27 07:00:53 [INFO]    [PING OK] EE | VLESS | 4187ms
2026-02-27 07:00:53 [INFO]    [PING OK] KZ | VLESS | 6068ms
2026-02-27 07:00:53 [INFO]    [PING OK] CA | VLESS | 3990ms
2026-02-27 07:00:54 [INFO]    [PING OK] US | VLESS | 4121ms
2026-02-27 07:00:54 [INFO]    [PING OK] DE | VLESS | 3587ms
2026-02-27 07:00:54 [INFO]    [PING OK] DE | VLESS | 3636ms
2026-02-27 07:00:54 [INFO]    [PING OK] NL | VLESS | 4448ms
2026-02-27 07:00:54 [INFO]    [PING OK] SG | VLESS | 3648ms
2026-02-27 07:00:54 [INFO]    [PING OK] DE | VLESS | 3433ms
2026-02-27 07:00:54 [INFO]    [PING OK] LV | VLESS | 3188ms
2026-02-27 07:00:54 [INFO]    [PING OK] DE | VLESS | 3265ms
2026-02-27 07:00:54 [INFO]    [PING OK] US | VLESS | 3685ms
2026-02-27 07:00:54 [INFO]    [PING OK] DE | VLESS | 2226ms
