2026-02-21 13:30:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:30:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:30:14 [INFO] 🔍 Уникальных конфигов собрано: 3595
2026-02-21 13:30:14 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:31:31 [INFO]    [PING OK] FR | VLESS | 178ms
2026-02-21 13:31:32 [INFO]    [PING OK] AT | VLESS | 280ms
2026-02-21 13:31:33 [INFO]    [PING OK] DE | VLESS | 4406ms
2026-02-21 13:31:33 [INFO]    [PING OK] FR | VLESS | 356ms
2026-02-21 13:31:34 [INFO]    [PING OK] LV | VLESS | 505ms
2026-02-21 13:31:34 [INFO]    [PING OK] NL | VLESS | 207ms
2026-02-21 13:31:35 [INFO]    [PING OK] FI | VLESS | 159ms
2026-02-21 13:31:36 [INFO]    [PING OK] GB | VLESS | 182ms
2026-02-21 13:31:37 [INFO]    [PING OK] US | VLESS | 420ms
2026-02-21 13:31:41 [INFO]    [PING OK] GB | VLESS | 178ms
2026-02-21 13:31:44 [INFO]    [PING OK] NL | VLESS | 211ms
2026-02-21 13:31:45 [INFO]    [PING OK] KR | VLESS | 2486ms
2026-02-21 13:31:46 [INFO]    [PING OK] FR | VLESS | 531ms
2026-02-21 13:31:47 [INFO]    [PING OK] RU | VLESS | 273ms
2026-02-21 13:31:47 [INFO]    [PING OK] AT | VLESS | 364ms
2026-02-21 13:31:52 [INFO]    [PING OK] AT | VLESS | 243ms
2026-02-21 13:31:56 [INFO]    [PING OK] FR | VLESS | 743ms
2026-02-21 13:32:04 [INFO]    [PING OK] NL | VLESS | 428ms
2026-02-21 13:32:06 [INFO]    [PING OK] CY | VLESS | 411ms
2026-02-21 13:32:07 [INFO]    [PING OK] RU | VLESS | 195ms
2026-02-21 13:32:07 [INFO]    [PING OK] US | VLESS | 3583ms
2026-02-21 13:32:10 [INFO]    [PING OK] TR | VLESS | 2812ms
2026-02-21 13:32:12 [INFO]    [PING OK] AU | VLESS | 118ms
2026-02-21 13:32:13 [INFO]    [PING OK] MD | VLESS | 661ms
2026-02-21 13:32:14 [INFO]    [PING OK] FR | VLESS | 216ms
2026-02-21 13:32:15 [INFO]    [PING OK] DE | VLESS | 3671ms
2026-02-21 13:32:18 [INFO]    [PING OK] BR | VLESS | 847ms
2026-02-21 13:32:18 [INFO]    [PING OK] IR | VLESS | 739ms
2026-02-21 13:32:18 [INFO]    [PING OK] NL | VLESS | 278ms
2026-02-21 13:32:20 [INFO]    [PING OK] US | VLESS | 671ms
2026-02-21 13:32:20 [INFO]    [PING OK] IS | VLESS | 722ms
2026-02-21 13:32:21 [INFO]    [PING OK] NL | VLESS | 243ms
2026-02-21 13:32:21 [INFO]    [PING OK] RU | VLESS | 280ms
2026-02-21 13:32:22 [INFO]    [PING OK] NL | VLESS | 425ms
2026-02-21 13:32:23 [INFO]    [PING OK] US | VLESS | 645ms
2026-02-21 13:32:23 [INFO]    [PING OK] IQ | VLESS | 497ms
2026-02-21 13:32:24 [INFO]    [PING OK] GB | VLESS | 363ms
2026-02-21 13:32:25 [INFO]    [PING OK] NL | VLESS | 164ms
2026-02-21 13:32:25 [INFO]    [PING OK] NL | VLESS | 274ms
2026-02-21 13:32:30 [INFO]    [PING OK] US | VLESS | 530ms
2026-02-21 13:32:30 [INFO]    [PING OK] AM | VLESS | 841ms
2026-02-21 13:32:32 [INFO]    [PING OK] NL | VLESS | 233ms
2026-02-21 13:32:36 [INFO]    [PING OK] FR | VLESS | 180ms
2026-02-21 13:32:37 [INFO]    [PING OK] FI | VLESS | 118ms
