2026-02-26 05:10:05 [INFO] 🚀 START: Smart Selector (Target: 10, ONLY FOREIGN)
2026-02-26 05:10:05 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-26 05:10:07 [INFO] 🔍 Уникальных конфигов собрано: 617
2026-02-26 05:10:07 [INFO] ⚡ ЭТАП 1: Замер Пинга и Геолокации. Workers: 40...
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 3324ms | Скорость: 5.23 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 3499ms | Скорость: 5.34 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 IT | VLESS | Пинг: 3649ms | Скорость: 5.46 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 3166ms | Скорость: 5.1 Mbps ⚡⚡
2026-02-26 05:11:27 [INFO]    🏆 NL | VLESS | Пинг: 3651ms | Скорость: 4.65 Mbps ⚡⚡
2026-02-26 05:11:29 [INFO]    🏆 US | VLESS | Пинг: 3605ms | Скорость: 1.02 Mbps 
2026-02-26 05:11:30 [INFO]    🏆 EE | VLESS | Пинг: 3722ms | Скорость: 6.86 Mbps ⚡⚡
2026-02-26 05:11:30 [INFO]    🏆 NL | VLESS | Пинг: 3773ms | Скорость: 6.81 Mbps ⚡⚡
2026-02-26 05:11:30 [INFO]    🏆 FI | VLESS | Пинг: 3751ms | Скорость: 6.92 Mbps ⚡⚡
2026-02-26 05:11:30 [INFO]    🏆 NL | VLESS | Пинг: 3746ms | Скорость: 6.73 Mbps ⚡⚡
2026-02-26 05:11:30 [INFO]    🏆 NL | VLESS | Пинг: 3805ms | Скорость: 6.81 Mbps ⚡⚡
2026-02-26 05:11:30 [INFO]    🏆 NL | VLESS | Пинг: 3808ms | Скорость: 7.09 Mbps ⚡⚡
2026-02-26 05:11:30 [INFO]    🏆 HU | VLESS | Пинг: 3676ms | Скорость: 6.29 Mbps ⚡⚡
2026-02-26 05:11:31 [INFO]    🏆 DE | VLESS | Пинг: 3834ms | Скорость: 7.67 Mbps ⚡⚡
2026-02-26 05:11:31 [INFO]    🏆 CA | VLESS | Пинг: 3681ms | Скорость: 5.5 Mbps ⚡⚡
2026-02-26 05:11:31 [INFO]    🏆 JP | VLESS | Пинг: 3750ms | Скорость: 5.51 Mbps ⚡⚡
2026-02-26 05:11:31 [INFO]    🏆 JP | VLESS | Пинг: 3719ms | Скорость: 5.36 Mbps ⚡⚡
2026-02-26 05:11:31 [INFO]    🏆 NL | VLESS | Пинг: 3783ms | Скорость: 5.47 Mbps ⚡⚡
2026-02-26 05:11:32 [INFO]    🏆 LT | VLESS | Пинг: 3697ms | Скорость: 4.66 Mbps ⚡⚡
2026-02-26 05:11:32 [INFO]    🏆 FI | VLESS | Пинг: 3840ms | Скорость: 8.32 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 FI | VLESS | Пинг: 3859ms | Скорость: 10.43 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 FI | VLESS | Пинг: 3882ms | Скорость: 10.47 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 PL | VLESS | Пинг: 3894ms | Скорость: 10.56 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 PL | VLESS | Пинг: 3887ms | Скорость: 10.27 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 NL | VLESS | Пинг: 3862ms | Скорость: 10.1 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 PL | VLESS | Пинг: 3848ms | Скорость: 9.88 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 DE | VLESS | Пинг: 3858ms | Скорость: 9.81 Mbps ⚡⚡
2026-02-26 05:11:33 [INFO]    🏆 DE | VLESS | Пинг: 3754ms | Скорость: 0.68 Mbps 
2026-02-26 05:11:33 [INFO]    🏆 PL | VLESS | Пинг: 3913ms | Скорость: 11.37 Mbps ⚡⚡
2026-02-26 05:11:35 [INFO]    🏆 AE | VLESS | Пинг: 3904ms | Скорость: 6.57 Mbps ⚡⚡
2026-02-26 05:11:35 [INFO] 📊 Итого в подписке сохранено иностранных серверов: 10
2026-02-26 05:11:35 [INFO] 💾 Файл успешно сохранен: FL1PVPN
