2026-02-21 13:00:06 [INFO] 🚀 START: Smart Selector (Target: 10, Strict Mode, Hybrid Protocol)
2026-02-21 13:00:06 [INFO] 🌐 Загрузка источников (VLESS + VMess)...
2026-02-21 13:00:15 [INFO] 🔍 Уникальных конфигов собрано: 3599
2026-02-21 13:00:15 [INFO] ⚡ ЭТАП 1: Быстрый замер Пинга (Workers: 40)...
2026-02-21 13:02:49 [INFO]    [PING OK] DE | VLESS | 266ms
2026-02-21 13:02:50 [INFO]    [PING OK] DE | VLESS | 250ms
2026-02-21 13:02:52 [INFO]    [PING OK] FR | VLESS | 229ms
2026-02-21 13:02:57 [INFO]    [PING OK] US | VLESS | 1811ms
2026-02-21 13:02:59 [INFO]    [PING OK] US | VLESS | 440ms
2026-02-21 13:03:00 [INFO]    [PING OK] US | VLESS | 378ms
2026-02-21 13:03:08 [INFO]    [PING OK] FR | VLESS | 234ms
2026-02-21 13:03:08 [INFO]    [PING OK] CA | VLESS | 424ms
2026-02-21 13:03:09 [INFO]    [PING OK] CH | VLESS | 672ms
2026-02-21 13:03:15 [INFO]    [PING OK] TR | VLESS | 4905ms
2026-02-21 13:03:15 [INFO]    [PING OK] RU | VLESS | 534ms
2026-02-21 13:03:19 [INFO]    [PING OK] NZ | VLESS | 2670ms
2026-02-21 13:03:21 [INFO]    [PING OK] US | VLESS | 623ms
2026-02-21 13:03:26 [INFO]    [PING OK] KR | VLESS | 4900ms
2026-02-21 13:03:27 [INFO]    [PING OK] CY | VLESS | 1177ms
2026-02-21 13:03:28 [INFO]    [PING OK] US | VLESS | 1241ms
2026-02-21 13:03:29 [INFO]    [PING OK] FR | VLESS | 188ms
2026-02-21 13:03:34 [INFO]    [PING OK] DE | VLESS | 503ms
2026-02-21 13:03:35 [INFO]    [PING OK] FR | VLESS | 758ms
2026-02-21 13:03:35 [INFO]    [PING OK] FR | VLESS | 357ms
2026-02-21 13:03:53 [INFO] 🏎️ ЭТАП 2: Глубокий замер скорости для 40 кандидатов...
2026-02-21 13:03:56 [INFO]    🏆 SE | VLESS | Пинг: 93ms | Скорость: 7.46 Mbps ⚡⚡
2026-02-21 13:03:56 [INFO]    🏆 RU | VLESS | Пинг: 114ms | Скорость: 7.53 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 RU | VLESS | Пинг: 85ms | Скорость: 7.03 Mbps ⚡⚡
2026-02-21 13:03:57 [INFO]    🏆 DE | VLESS | Пинг: 99ms | Скорость: 7.12 Mbps ⚡⚡
